Source,Target,Relation,Class
onufrej_98,onsifor_98,поклон,writes_to
onsifor_98,oncifor_lukinich,same,same
onufrej_98,smen_98,упоминает,knows
onsifor_98,smen_98,знает,knows
onufrej_98,roba_98,упоминает,knows
onufrej_98,holop_98,упоминает,knows
deti_98,onufrej_98,дети?,relative
onufrej_98,deti_98,отец?,relative
neverovichi_98,deti_98,same?,same
deti_98,neverovichi_98,same?,same
onsifor_98,holop_98,начальник,knows
onsifor_98,roba_98,начальник,knows
roba_98,onsifor_98,подчиненный,knows
holop_98,onsifor_98,подчиненный,knows
onsifor_98,onufrej_98,знает,knows
onsifor_98,deti_98,знает,knows
onsifor_98,neverovichi_98,знает,knows
oncifor_lukinich,onsifor_98,same,same
